min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,class
40,78,862,164,40,1257,1420,410,55,12781,111623,28926,39,11650,246300,39262,575174,6,46,3599,46,57839,ONLINEBANKING
40,296,866,376,40,189,450,161,735,51795,131046,47383,1058,62576,151962,56271,466156,6,10,2968,7,1329,ONLINEBANKING
40,297,860,377,40,311,1063,376,1294,51746,130060,47154,674,62559,155276,57352,465721,6,10,2976,7,2178,ONLINEBANKING
40,89,862,189,40,1259,1420,404,55,16884,271617,45203,23,14060,420000,59465,11446594,6,67,6022,70,88152,ONLINEBANKING
40,299,866,375,40,446,1420,530,25,50451,143190,51797,110,60922,151962,56235,11159117,6,16,4795,10,4466,ONLINEBANKING
40,337,860,389,40,330,1063,328,1294,64763,137874,48270,674,85552,223513,80262,11231565,6,14,4728,9,2975,ONLINEBANKING
40,89,862,189,40,1259,1420,404,55,16884,271617,45203,23,14060,420000,59465,11446594,6,67,6022,70,88152,ONLINEBANKING
40,299,866,375,40,446,1420,530,25,50451,143190,51797,110,60922,151962,56235,11159117,6,16,4795,10,4466,ONLINEBANKING
40,337,860,389,40,330,1063,328,1294,64763,137874,48270,674,85552,223513,80262,11231565,6,14,4728,9,2975,ONLINEBANKING
40,99,862,206,40,1262,1420,398,55,18512,271617,47151,23,13858,420000,59050,30630419,6,70,6943,72,90882,ONLINEBANKING
40,185,866,306,40,1036,1420,566,25,26974,143190,43426,69,22458,151962,42839,30456211,6,34,6309,27,27987,ONLINEBANKING
40,331,860,386,40,403,1420,455,28,66457,153218,53784,674,76309,223513,78773,30622583,6,17,5640,11,4435,ONLINEBANKING
40,123,1078,253,40,1118,1420,511,26,24955,505221,82714,98,19577,358280,60760,2917579,6,43,5313,42,46964,ONLINEBANKING
40,302,865,381,40,838,1420,639,595,48392,121638,45508,22,29375,122378,43904,3019723,6,13,3928,13,10901,ONLINEBANKING
40,80,864,170,40,1297,1420,361,77,11622,124961,25299,26,5742,54598,15557,2981791,6,45,3606,58,75230,ONLINEBANKING
40,280,1138,409,40,683,1420,671,27,141218,637489,223135,113,125047,697657,228267,1553398,6,12,3369,13,8891,ONLINEBANKING
40,156,870,280,40,1221,1420,443,65,29281,186330,46452,25,14363,324224,50072,3075204,6,29,4535,49,59830,ONLINEBANKING
40,111,1078,234,40,1194,1420,452,26,19874,505221,71634,66,14017,358280,51928,11491572,6,61,6827,59,70485,ONLINEBANKING
40,251,865,356,40,1011,1420,585,92,36279,121638,44097,22,20239,122378,38483,11608454,6,20,5029,19,19227,ONLINEBANKING
40,80,864,170,40,1297,1420,361,77,11622,124961,25299,26,5742,54598,15557,2981791,6,45,3606,58,75230,ONLINEBANKING
40,208,1138,360,40,878,1420,625,27,81811,637489,171968,64,81824,697657,187991,11368177,6,23,4797,21,18449,ONLINEBANKING
40,156,870,280,40,1221,1420,443,65,29281,186330,46452,25,14363,324224,50072,3075204,6,29,4535,49,59830,ONLINEBANKING
